a:206.55333333333334,206.55333333333334,206.55333333333334
b:202.37333333333333,202.37333333333333,202.37333333333333
c:222.75333333333333,222.75333333333333,222.75333333333333
d:201.98,201.98,201.98
e:210.06666666666666,210.06666666666666,210.06666666666666
f:223.46666666666667,223.46666666666667,223.46666666666667
g:206.04,206.04,206.04
h:206.78,206.78,206.78
i:234.9,234.9,234.9
j:232.68666666666667,232.68666666666667,232.68666666666667
k:206.69333333333333,206.69333333333333,206.69333333333333
l:230.14,230.14,230.14
m:208.16666666666666,208.16666666666666,208.16666666666666
n:213.52666666666667,213.52666666666667,213.52666666666667
o:212.33333333333334,212.33333333333334,212.33333333333334
p:206.60666666666665,206.60666666666665,206.60666666666665
q:206.88,206.88,206.88
r:231.69333333333333,231.69333333333333,231.69333333333333
s:216.44,216.44,216.44
t:226.32666666666665,226.32666666666665,226.32666666666665
u:214.00666666666666,214.00666666666666,214.00666666666666
v:221.56,221.56,221.56
w:195.85333333333332,195.85333333333332,195.85333333333332
x:215.02666666666667,215.02666666666667,215.02666666666667
y:218.41333333333333,218.41333333333333,218.41333333333333
z:216.5,216.5,216.5
A:193.43333333333334,193.43333333333334,193.43333333333334
B:181.33333333333334,181.33333333333334,181.33333333333334
C:203.19333333333333,203.19333333333333,203.19333333333333
D:187.94666666666666,187.94666666666666,187.94666666666666
E:196.22,196.22,196.22
F:209.87333333333333,209.87333333333333,209.87333333333333
G:196.81333333333333,196.81333333333333,196.81333333333333
H:192.14,192.14,192.14
I:228.6,228.6,228.6
J:220.51333333333332,220.51333333333332,220.51333333333332
K:189.18,189.18,189.18
L:219.3,219.3,219.3
M:189.68,189.68,189.68
N:188.79333333333332,188.79333333333332,188.79333333333332
O:200.17333333333335,200.17333333333335,200.17333333333335
P:199.50666666666666,199.50666666666666,199.50666666666666
Q:192.70666666666668,192.70666666666668,192.70666666666668
R:183.54666666666665,183.54666666666665,183.54666666666665
S:195.75333333333333,195.75333333333333,195.75333333333333
T:216.34,216.34,216.34
U:198.06666666666666,198.06666666666666,198.06666666666666
V:203.49333333333334,203.49333333333334,203.49333333333334
W:189.16666666666666,189.16666666666666,189.16666666666666
X:196.30666666666667,196.30666666666667,196.30666666666667
Y:211.18666666666667,211.18666666666667,211.18666666666667
Z:203.08,203.08,203.08
